category,jobDescription
ACCOUNTANT,"We are seeking an experienced Contract Auditor who will review Service Level Agreements (SLA) for a 4-6 week contract (flexible hours).The position will be an on site opportunity located in Santa Monica.  This professional will perform contract analysis to understand if the client's Partner's/Vendor's have adhere to contractual agreements pertaining to referral fees. This individual will be capable of working independently, working with internal (technical team) and external customers. Minimum Qualifications &amp; Competencies:   Must be a Contract Analyst who has the ability to read and understand contract languageDemonstrated ability to articulate details and communicate effectively across al verticles"
ACCOUNTANT,"RSP, Inc. is aggressively growing its business and seeks a driven, energetic and dynamic thinking individual who seeks a successful and challenging career.  RSP manufactures custom products for a variety of industries with customers in over 30 countries.  We operate globally with manufacturing facilities and engineering support in the US and China. "
ACCOUNTANT,Responsible for timely and accurate entry of invoices.Must assist to manage cash and due dates of payables.Will prepare and mail checks.Must upload complex invoices into accounts payable system using Excel.Will manage our Concur Expense program.Will assist in other accounting team fucntions as necassary.
ACCOUNTANT,"The accountant is a full-time national staff position
based in CCDI's Yerevan head office. Accountant is responsible for
overseeing the daily financial operations of the organization (1 head
office and 8 field offices).
CCDI runs double entry bookkeeping on accrual bases in compliance with
the National (International) Accounting Standards (NAS).  Accounting is
computerized. Accounting software ""OC - 1"", MS Access based double entry
bookkeeping.   Quicken also will be used for recordkeeping.  Some forms
and tables are also done in Excel.
Overall Job Functions, Major Duties, and Responsibilities
- Development and implementation of effective accounting, internal
controls, and fund control policies, procedures, and systems
- Effective preparation, maintenance, and reporting of internal and
external financial records and analyses
- Oversee the daily financial operations and performance of the
organization
- Establish and maintain effective communication and coordination with
management and field offices
- Maintain effective business relations with the bank and outside
auditors/regulatory authorities"
ACCOUNTANT,"The Armenian Forests NGO with funding from the
Tufenkian Foundation seeks candidates for one part time position on an
expanding project. A quarter time position (approximately 10 hours per
week) available with a goal-oriented environmental NGO."
ACCOUNTANT,"The QSI  International School of Yerevan seeks
candidates for one part time or full time position on an expanding job
description."
ACCOUNTANT,"To assist in maintaining financial records by
preparing accounting reports and statements, reconciling accounts, and
processing/reviewing journal entries and vouchers."
ACCOUNTANT,"ESDF currently seeks to fill the position of part-time
Accountant. This position reports directly to the Executive Director."
ACCOUNTANT,"The role of Accountant is to provide a comprehensive
and professional finance management service to the newly registered NGO
BEM, including daily accounting, reporting and some supervision of the
staff"
ACCOUNTANT,"We are looking for a highly qualified Accountant, who
will report directly to Finance Director."
ACCOUNTANT,"The incumbent will carry out cash maintenance,
bookkeeping and reporting functions, and other duties as assigned."
ACCOUNTANT,"The Foundation needs a qualified Accountant, who will
be responsible for the complete accounting of the organization."
ACCOUNTANT,"We are looking for a dediacated person, ready to
fulfil the position of Acountant at a travel agency."
ACCOUNTANT,"CRD/TI Armenia is currently seeking a qualified
candidate to fill a part-time position of the Accountant."
ACCOUNTANT,"An international consulting company is looking for a
dedicated and responsible person, ready to fulfil the position of
Accountant to do the accounting and financial consulting of the company."
ACCOUNTANT,"The company seeks qualified Accountants to join its
team in Yerevan."
ACCOUNTANT,"We are seeking a qualified Accountant to manage the
accountancy of our two offices in Yerevan."
ACCOUNTANT,"The project seeks candidates to fill the position of
Accountant."
ACCOUNTANT,"This position is responsible for accurate
recordkeeping, accounting and financial reporting for AEYEA as well as
maintaining strong internal controls so that cash, inventories and other
assets of AEYEA are safeguarded."
ACCOUNTANT,"We are looking for a highly qualified Accountant.
He/she will report directly to the Chief Accountant."
ACCOUNTANT,"The Accountant will be responsible for a wide range of
administrative, financial, contractual and reporting responsibilities for
it's HEAT project. The inclumbent will performs accounting functions
including data entry, accounts receivable and payable balances, vendor
checks, daily bank deposits, accounting record keeping, preparation and
submission to the Home Office of monthly accounting reports in
QuickBooks Pro.  Responsible for ensuring transparent and audit proof
accounting operations. The Accountant will work under the direct
supervision of and report to the Chief of Party (COP).  The Accountant
has the authority and the obligation to question and refer to the COP
any activity that does not appear to be in accordance with company,
project or Government of Armenia (GOA) policy, guidelines or standards. 
The post of assignment is the HEAT project office in Yerevan. The term of
assignment, subject to satisfactory performance, is through the end of
the project."
ACCOUNTANT,"We are seeking an Accountant to take care of day to
day accounting work."
ACCOUNTANT,"The American Bar Association, Central European and
Eurasian Law Initiative (ABA CEELI) is seeking a qualified Accountant to
be responsible for overall accounting of the company. The position holder
will carry out several accounting functions, and other duties as
assigned. The position performs duties and activities to direct, manage,
supervise and coordinate the activities and operations of the accounting
department, including general ledger, payroll, accounts payable and
receivable, fixed assets, tax packages, order books etc."
ACCOUNTANT,"We are seeking an Accountant for day to day accounting
work."
ACCOUNTANT,"We are seeking a motivated person for our Accounting
Department."
ACCOUNTANT,"The Accountant of the RFF will operate under the
oversight of the RFF director. He/she will be responsible for managing
the day-to-day operations and accountancy of the RFF as per the
legislation of the Republic of Armenia."
ACCOUNTANT,"The position holds a special responsibility to ensure
that the NGO financial procedures are in full compliance with the
Armenian Law. The responsibilities include office accounting, payments
and receipts."
ACCOUNTANT,"Under the direct supervision of the Branch Office
Coordinator the Accountant shall manage the day-to-day operations of REC
Caucasus branch office related to finances, technical services,
procurement and administrative matters. The Accountant shall provide
company's internal and external users with timely and accurate reporting
of all financial transactions by organizing, implementing and execution
of accounting procedures in accordance with Corporate Financial
Instructions and local legislation requirements."
ACCOUNTANT,"The Recruitment division of Career Center is looking
for an experienced accountant for its partner organization."
ACCOUNTANT,"The position holds a special responsibility to support
the financial accounting procedures in full compliance with the Armenian
Law. Overall responsibilities include supporting the office accounting,
payments and receipts for two USAID projects."
ACCOUNTANT,"Armenian Caritas BNGO is looking for an Accountant
to take upon the responsibilities at NASPCM Yerevan office (National
Association of School Parents Council Members)."
ACCOUNTANT,"Armenian Caritas BNGO is looking for an Accountant
to take upon the responsibilities at NASPCM Yerevan office (National
Association of School Parents Council Members)."
ACCOUNTANT,"Under the direct supervision of Chief Accountant, the
incumbent will be responsible for development, maintenance and
monitoring of consolidated reports and subsequent reporting to the
Central Bank of RA."
ACCOUNTANT,"We are looking for a qualified candidate to fulfill
the position of Accountant."
ACCOUNTANT,"We are looking for a qualified candidate to fulfill
the position of Accountant. The incumbent will be responsible for
preparing financial and accounting reports."
ACCOUNTANT,"FADF is looking for a qualified candidate to fulfill
the position of Accountant."
ACCOUNTANT,"We are looking for a candidate to fulfill the position
of Accountant."
ACCOUNTANT,"We are looking for a candidate to fulfill the position
of Accountant."
ACCOUNTANT,"We are looking for a candidate to fulfill the position
of Accountant."
ACCOUNTANT,"We are looking for a qualified Accountant capable of
handling proper financial procedures within the framework of Company's
activities."
ACCOUNTANT,"EMG is seeking staff for USAID-funded, multi-year
project in Armenia, supporting health sector reform activities to
increase utilization of sustainable, high-quality primary healthcare
services.
The accountant will be responsible for the overall daily bookkeeping."
ACCOUNTANT,"The incumbent will assist in maintaining financial
records by preparing accounting reports and statements, reconciling
accounts, and processing/ reviewing journal entries and vouchers."
ACCOUNTANT,"Vencos Ltd. is looking for a motivated, self-driven,
highly professional candidate for the position of Accountant. The
successful candidate will be responsible for overall accounting of the
company."
ACCOUNTANT,"FMS Consulting is looking for qualified Accountants to
direct, organize, plan, and control the accounting activities."
ACCOUNTANT,"TSG has an immediate opening for an Accountant for a
USAID-funded project in Yerevan to strengthen social protection systems."
ACCOUNTANT,"The incumbent will be reporting to the Chief
Accountant."
ACCOUNTANT,"Cascade Capital Holdings CSJC is looking for a
motivated, proactive candidate for the position of Accountant."
ACCOUNTANT,"We are looking for an Accountant to be responsible for
all transactions connected with program, administrative expenses and
payroll. This position is under the supervision of the Executive
Director."
ACCOUNTANT,"This position is for CARDs Accounting Department and
under the direct supervision of CARDs Chief Accountant."
ACCOUNTANT,"The incubment will be responsible for making
accounting records, keeping track of invoices, preparing periodic
reports."
ACCOUNTANT,"The incubment will be responsible for making
accounting records accurately and organizing sales in a proper manner
under the supervision of Sales Manager and Chief Accountant."
ACCOUNTANT,"Nikita Mobile is looking for a motivated, proactive
candidate for the position of Accountant to make relevant records and
keep track of invoices."
ACCOUNTANT,"This position is for Erebouni Biosecurity's Accounting
Department."
ACCOUNTANT,"Cascade Insurance ICJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company. The position holder will carry out several
accounting functions, and other duties as assigned. The Accountant will
report to the Chief Accountant of the company. Cascade Insurance is
looking for a well organized and hard working person able to work in a
western-style office environment towards the achievement of team goals."
ACCOUNTANT,"""Sil Insurance"" ICJSC is looking for a motivated,
self-driven, highly professional candidate for the position of
Accountant. The successful incumbent will be responsible for overall
accounting of the company. The position holder will carry out several
accounting functions, and other duties as assigned. The Accountant will
report to the Chief Accountant of the company."
ACCOUNTANT,"The Accountant tracks expenses, monitors financial
transactions of MDF-Kamurj branches provides support to branch
accountants and develops financial reports."
ACCOUNTANT,"Aregak UCO is looking for a motivated, proactive
candidate for the full time position of Accountant for its Masis Branch."
ACCOUNTANT,"Aregak UCO is looking for a motivated, proactive
candidate for the full time position of Accountant for its Gyumri
Branch."
ACCOUNTANT,"""Greenfild"" LTD is looking for an accountant to be
responsible for all bookeeping procedures-balance."
ACCOUNTANT,"Logicon Development LLC is seeking an Accountant to
be responsible for general bookkeeping and accounting of the company."
ACCOUNTANT,"MDF-Kamurj is seeking candidates for the positions of
Accountant. The Accountants develop financial reports, track expenses,
monitor the finances of MDF-Kamurj branches and provide support to
branch accountants."
ACCOUNTANT,"TM Audit CJSC is looking for candidates to fulfill
the position of Accountant in the Accounting and Tax Services Department
of the company."
